Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,1981_change,1982_change,1983_change,1984_change,1985_change,1986_change,1987_change,1988_change,1989_change,1990_change,1991_change,1992_change,1993_change,1994_change,1995_change,1996_change,1997_change,1998_change,1999_change,2000_change,2001_change,2002_change,2003_change,2004_change,2005_change,2006_change,2007_change,2008_change,2009_change,2010_change,2011_change,2012_change,2013_change,2014_change,2015_change,2016_change,2017_change,2018_change,2019_change,2020_change,2021_change,2022_change,2023_change,2024_change,2025_change,2026_change,2027_change,2028_change,2029_change
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.59,31.484,35.241,35.148,33.52,38.109,29.793,29.994,35.916,39.173,42.264,45.095,,-28.20,-27.29,36.58,23.24,-30.59,33.41,61.68,-20.17,76.45,-86.68,12.61,22.63,69.23,13.63,12.30,25.14,22.25,6.67,-1.92,22.59,19.66,15.40,17.74,24.78,32.04,28.65,31.32,9.07,-15.46,19.89,1.11,-26.34,8.06,14.81,6.27,0.55,-24.63,-31.32,-6.27,11.93,-0.26,-4.63,13.69,-21.82,0.67,19.74,9.07,7.89,6.70
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,4.016,2.912,3.084,3.631,3.747,4.918,4.957,5.246,5.523,5.724,5.978,,11.83,2.94,-3.40,-2.26,1.08,2.00,10.00,18.50,16.79,-73.50,10.40,-7.38,-21.19,12.47,89.87,24.27,7.13,20.12,-17.63,3.59,-13.87,26.31,17.30,15.67,19.65,17.51,11.81,20.32,9.70,12.70,1.24,12.61,3.34,1.85,-8.66,-35.29,8.29,11.25,0.50,-27.49,5.91,17.74,3.19,31.25,0.79,5.83,5.28,3.64,4.44
Sweden,139.571,127.406,112.404,103.289,107.628,112.593,148.766,180.937,204.691,215.436,258.395,270.629,281.588,212.646,228.703,267.054,291.954,268.252,270.891,274.319,262.904,242.498,267.373,334.074,384.548,391.691,422.528,490.052,514.617,434.313,492.753,570.541,549.742,584.128,577.73,501.698,514.218,536.084,551.312,532.169,545.148,637.187,579.896,584.914,609.039,638.78,667.508,698.075,728.927,760.93,,-8.72,-11.77,-8.11,4.20,4.61,32.13,21.63,13.13,5.25,19.94,4.73,4.05,-24.48,7.55,16.77,9.32,-8.12,0.98,1.27,-4.16,-7.76,10.26,24.95,15.11,1.86,7.87,15.98,5.01,-15.60,13.46,15.79,-3.65,6.25,-1.10,-13.16,2.50,4.25,2.84,-3.47,2.44,16.88,-8.99,0.87,4.12,4.88,4.50,4.58,4.42,4.39
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,353.058,340.259,294.858,303.265,297.579,279.285,286.773,309.594,362.17,403.446,418.222,441.862,491.066,566.968,553.913,598.333,715.799,686.546,706.776,726.692,693.845,687.721,695.505,725.9,721.89,741.311,814.689,828.447,894.811,942.265,999.604,1045.766,1085.66,1134.174,1177.376,,-8.44,2.46,-0.33,-4.47,1.43,43.36,25.15,8.17,-3.35,27.76,1.16,4.00,-2.77,10.75,17.20,-3.63,-13.34,2.85,-1.87,-6.15,2.68,7.96,16.98,11.40,3.66,5.65,11.14,15.46,-2.30,8.02,19.63,-4.09,2.95,2.82,-4.52,-0.88,1.13,4.37,-0.55,2.69,9.90,1.69,8.01,5.30,6.09,4.62,3.81,4.47,3.81
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,,28.29,4.58,7.09,2.80,10.46,20.07,27.80,-49.11,-40.45,24.92,3.54,4.12,4.02,9.49,9.61,7.28,-6.69,-2.59,3.97,18.33,5.63,8.48,-4.64,16.14,14.59,17.12,19.70,29.99,2.49,11.32,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.201,0.191,0.228,0.231,0.269,0.295,0.262,0.294,0.325,0.387,0.416,0.476,0.529,0.546,0.684,0.812,0.952,1.071,1.167,1.267,1.375,,21.74,-3.57,-6.17,3.95,5.06,40.96,0.00,-14.53,-1.00,21.21,-10.00,-11.11,32.29,3.94,-21.21,30.77,-31.62,-21.51,6.85,-1.28,-6.49,11.11,20.00,8.33,20.19,6.40,9.02,29.66,6.91,-4.98,19.37,1.32,16.45,9.67,-11.19,12.21,10.54,19.08,7.49,14.42,11.13,3.21,25.27,18.71,17.24,12.50,8.96,8.57,8.52
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,673.178,773.038,760.907,755.674,775.017,814.438,859.634,902.076,936.808,956.168,,15.81,1.16,9.31,12.79,4.17,22.92,34.33,20.41,20.74,9.11,12.31,19.11,6.02,8.42,8.90,4.81,3.69,-7.69,8.52,8.84,-9.50,2.73,3.23,9.31,7.82,3.31,5.29,2.21,-6.03,13.68,8.93,2.40,3.50,4.36,-0.15,1.60,8.77,3.13,0.36,10.11,14.83,-1.57,-0.69,2.56,5.09,5.55,4.94,3.85,2.07
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.934,10.493,11.855,12.995,14.164,15.445,16.828,18.258,19.808,,,,,,,,,,,,,,132.99,22.27,-31.36,84.89,6.56,17.75,-17.65,-8.83,6.66,14.66,28.30,33.31,11.48,21.64,32.05,38.34,-3.08,13.36,15.62,16.39,12.04,8.65,-14.99,-10.98,7.74,3.01,6.94,-2.01,9.84,17.45,12.98,9.62,9.00,9.04,8.95,8.50,8.49
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.123,14.159,15.576,17.174,18.878,21.81,27.779,29.301,31.86,34.369,39.65,45.677,49.982,47.424,49.774,54,54.775,58.797,63.373,67.964,74.173,79.138,79.867,85.477,92.982,101.799,111.649,122.4,,19.61,14.82,2.42,-9.02,-9.77,26.43,-50.73,-4.44,-13.78,-19.74,16.38,-7.16,-7.48,5.96,16.50,23.61,18.41,22.91,2.58,5.03,1.95,4.07,7.89,10.01,10.26,9.92,15.53,27.37,5.48,8.73,7.88,15.37,15.20,9.42,-5.12,4.96,8.49,1.44,7.34,7.78,7.24,9.14,6.69,0.92,7.02,8.78,9.48,9.68,9.63
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.264,221.731,262.94,291.299,281.716,341.166,370.877,397.579,420.329,407.35,401.183,413.479,456.336,506.553,543.879,500.501,506.27,495.622,514.836,528.919,545.341,569.517,596.267,624.015,652.658,,7.71,5.00,9.44,4.38,-6.93,10.79,17.26,22.03,17.16,18.53,14.45,14.15,11.52,13.81,15.40,8.13,-17.95,-24.31,11.43,-0.22,-4.82,11.64,13.39,13.54,9.47,17.15,18.59,10.79,-3.29,21.10,8.71,7.20,5.72,-3.09,-1.51,3.06,10.36,11.00,7.37,-7.98,1.15,-2.10,3.88,2.74,3.10,4.43,4.70,4.65,4.59
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.616,1.584,2.048,2.163,3.622,3.205,2.379,1.992,2.13,2.275,2.428,2.591,2.762,,,,,,,,,,,,,,,,,,,,,,29.97,-1.47,4.26,-10.00,4.76,-1.73,19.60,19.34,12.19,21.32,18.14,11.32,20.34,3.65,10.16,3.58,-2.12,-1.98,29.29,5.62,67.45,-11.51,-25.77,-16.27,6.93,6.81,6.73,6.71,6.60
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.76,4.578,4.717,4.75,5.421,5.417,6.022,6.395,5.756,6.069,6.385,7.033,6.993,7.4,8.338,8.144,9.081,9.766,10.459,11.292,12.129,13.043,14.036,,-16.95,-15.70,-4.73,-8.12,4.83,40.12,17.38,11.30,-1.83,20.42,-1.15,4.85,-23.81,-22.48,32.00,9.29,1.88,-5.33,0.38,-15.02,-0.70,15.05,24.03,6.80,1.05,3.02,18.50,21.76,3.04,0.70,14.13,-0.07,11.17,6.19,-9.99,5.44,5.21,10.15,-0.57,5.82,12.68,-2.33,11.51,7.54,7.10,7.96,7.41,7.54,7.61
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.199,0.205,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.427,0.407,0.403,0.397,0.382,0.416,0.435,0.445,0.445,0.459,0.475,0.52,0.545,0.571,0.595,0.616,0.638,0.66,,11.27,0.00,-2.53,5.19,-6.17,18.42,8.89,17.35,20.87,3.60,17.36,5.33,2.81,3.28,9.52,5.31,1.83,-4.50,-6.13,3.02,-11.71,1.10,10.38,14.36,13.42,11.45,2.40,15.05,-9.30,17.63,13.08,2.89,-4.68,-0.98,-1.49,-3.78,8.90,4.57,2.30,0.00,3.15,3.49,9.47,4.81,4.77,4.20,3.53,3.57,3.45
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.926,8.295,8.96,9.148,11.464,13.472,16.17,18.6,21.937,28.193,19.52,22.522,25.789,27.335,28.71,29.698,27.027,23.723,24.04,24.569,23.776,20.808,24.496,30.053,28.024,28.139,29.238,29.814,30.584,31.573,32.6,,12.14,16.41,-4.61,-0.09,-4.92,-35.00,0.06,-6.27,-3.87,17.24,4.73,2.48,-15.85,8.08,7.73,8.08,-0.38,5.33,12.65,19.77,8.02,2.10,25.32,17.52,20.03,15.03,17.94,28.52,-30.76,15.38,14.51,5.99,5.03,3.44,-8.99,-12.22,1.34,2.20,-3.23,-12.48,17.72,22.69,-6.75,0.41,3.91,1.97,2.58,3.23,3.25
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.494,46.813,44.596,48.541,52.636,54.651,56.702,57.232,57.749,58.571,,-3.59,-3.50,3.39,-1.61,2.11,7.19,7.60,3.85,-0.04,27.68,5.41,19.55,-6.09,6.95,15.26,8.28,-2.52,5.09,5.23,-6.41,2.76,4.87,18.63,13.59,3.49,6.52,13.20,15.24,-3.07,1.35,4.14,-1.69,2.90,3.27,-8.94,-3.10,-4.94,1.23,-1.83,1.41,10.16,-4.74,8.85,8.44,3.83,3.75,0.93,0.90,1.42
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.625,9.169,7.765,10.043,4.068,4.584,4.893,6.595,8.587,11.855,14.875,19.533,24.272,29.363,36.577,44.388,36.788,34.562,35.164,44.413,50.252,50.863,56.204,44.944,42.876,45.902,49.299,53.035,52.385,60.934,77.963,77.716,83.883,91.185,99.296,108.379,118.491,129.706,,,,,,,,,,,,,,464.25,-15.31,29.34,-59.49,12.68,6.74,34.78,30.20,38.06,25.47,31.31,24.26,20.97,24.57,21.35,-17.12,-6.05,1.74,26.30,13.15,1.22,10.50,-20.03,-4.60,7.06,7.40,7.58,-1.23,16.32,27.95,-0.32,7.94,8.70,8.90,9.15,9.33,9.46
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.033,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.053,0.063,0.064,0.068,0.073,0.079,0.083,0.088,0.092,0.097,,,,,,,,,,,,,,,,,,,,,,-6.67,21.43,17.65,15.00,0.00,4.35,20.83,10.34,-12.50,17.86,21.21,-2.50,0.00,0.00,-5.13,10.81,9.76,6.67,12.50,-1.85,18.87,1.59,6.25,7.35,8.22,5.06,6.02,4.55,5.43
"Türkiye, Republic of",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,277.599,254.024,273.118,202.558,238.15,316.54,407.024,504.8,552.332,682.992,782.851,651.513,777.443,837.924,877.681,958.087,939.924,867.054,869.204,859.02,797.707,760.388,717.114,807.893,905.8,1129.974,1344.318,1455.413,1477.336,1565.506,1660.519,1764.235,,1.31,-9.14,-4.44,-2.74,12.32,10.24,16.21,5.13,18.15,40.47,0.43,5.17,13.41,-27.84,30.22,7.24,4.54,6.01,-8.49,7.52,-25.83,17.57,32.92,28.59,24.02,9.42,23.66,14.62,-16.78,19.33,7.78,4.74,9.16,-1.90,-7.75,0.25,-1.17,-7.14,-4.68,-5.69,12.66,12.12,24.75,18.97,8.26,1.51,5.97,6.07,6.25
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,34.754,30.122,30.232,31.589,34.127,37.893,37.897,42.769,47.439,51.093,55.587,62.917,72.434,78.165,84.772,93.432,,61.90,-30.61,14.38,-23.08,-8.49,-0.37,61.25,3.59,-18.92,-18.43,-47.71,-6.47,18.27,44.75,19.76,3.21,9.00,-2.11,-4.95,-0.86,1.02,7.53,3.56,23.21,15.91,12.99,24.38,28.02,7.53,2.39,11.42,12.50,4.50,7.49,-13.33,0.37,4.49,8.03,11.04,0.01,12.86,10.92,7.70,8.80,13.19,15.13,7.91,8.45,10.22
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.747,85.996,107.767,143.26,181.313,117.079,136.011,163.059,175.781,183.31,133.392,90.922,93.349,112.064,130.959,154.14,156.579,199.868,160.874,178.34,184.099,189.827,207.4,221.253,234.533,249.394,,,,,,,,,,,,,,57.82,8.53,0.69,20.40,12.55,-16.49,-24.60,-1.01,17.11,11.82,18.32,29.25,32.82,25.32,32.93,26.56,-35.43,16.17,19.89,7.80,4.28,-27.23,-31.84,2.67,20.05,16.86,17.70,1.58,27.65,-19.51,10.86,3.23,3.11,9.26,6.68,6.00,6.34
United Arab Emirates,41.725,46.461,43.205,39.588,39.245,38.519,30.526,33.519,34.069,39.325,50.682,49.3,51.952,52.144,57.395,63.432,72.853,77.167,75.304,84.42,102.987,103.312,109.816,124.346,147.812,180.616,222.117,257.883,315.464,253.547,300.189,360.833,384.61,400.219,414.105,370.276,369.255,390.517,427.049,417.99,349.473,415.179,502.732,514.13,545.053,568.567,601.759,636.705,673.519,712.688,,11.35,-7.01,-8.37,-0.87,-1.85,-20.75,9.80,1.64,15.43,28.88,-2.73,5.38,0.37,10.07,10.52,14.85,5.92,-2.41,12.11,21.99,0.32,6.30,13.23,18.87,22.19,22.98,16.10,22.33,-19.63,18.40,20.20,6.59,4.06,3.47,-10.58,-0.28,5.76,9.35,-2.12,-16.39,18.80,21.09,2.27,6.01,4.31,5.84,5.81,5.78,5.82
United Kingdom,604.697,588.342,559.326,532.925,504.939,537.2,655.035,814.102,989.706,1007.623,1197.021,1248.625,1289.587,1155.162,1241.72,1344.504,1421.099,1561.239,1653.852,1688.248,1668.69,1650.252,1788.549,2056.294,2422.619,2546.038,2712.257,3091.695,2960.39,2421.476,2487.924,2664.719,2707.571,2786.665,3066.304,2928.558,2699.086,2682.384,2875.024,2853.074,2698.705,3144.079,3125.404,3382.115,3587.545,3730.261,3873.119,4023.533,4190.028,4371.806,,-2.70,-4.93,-4.72,-5.25,6.39,21.94,24.28,21.57,1.81,18.80,4.31,3.28,-10.42,7.49,8.28,5.70,9.86,5.93,2.08,-1.16,-1.10,8.38,14.97,17.81,5.09,6.53,13.99,-4.25,-18.20,2.74,7.11,1.61,2.92,10.03,-4.49,-7.84,-0.62,7.18,-0.76,-5.41,16.50,-0.59,8.21,6.07,3.98,3.83,3.88,4.14,4.34
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21539.975,21354.125,23681.175,26006.9,27720.725,29167.779,30337.162,31526.939,32786.79,34096.034,35457.964,,12.24,4.26,8.68,11.11,7.46,5.55,6.02,7.85,7.74,5.70,3.27,5.88,5.19,6.25,4.84,5.67,6.25,5.66,6.27,6.44,3.23,3.28,4.83,6.64,6.73,5.95,4.77,2.04,-1.98,3.94,3.66,4.19,3.86,4.31,3.90,2.79,4.29,5.33,4.28,-0.86,10.90,9.82,6.59,5.22,4.01,3.92,4.00,3.99,3.99
Uruguay,12.217,13.636,11.147,6.119,5.819,5.686,7.059,8.832,9.137,9.63,11.204,13.502,15.515,18.064,21.04,23.267,24.73,26.155,27.704,26.178,24.892,22.802,14.863,13.159,14.959,18.986,21.416,25.603,33.151,34.565,43.967,52.354,55.938,62.857,62.546,58.218,57.58,65.068,65.37,62.23,53.666,60.762,70.165,77.241,82.482,86.423,90.427,94.785,99.514,104.371,,11.61,-18.25,-45.11,-4.90,-2.29,24.15,25.12,3.45,5.40,16.34,20.51,14.91,16.43,16.47,10.58,6.29,5.76,5.92,-5.51,-4.91,-8.40,-34.82,-11.46,13.68,26.92,12.80,19.55,29.48,4.27,27.20,19.08,6.85,12.37,-0.49,-6.92,-1.10,13.00,0.46,-4.80,-13.76,13.22,15.48,10.08,6.79,4.78,4.63,4.82,4.99,4.88
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,69.703,58.696,67.294,66.443,77.34,90.125,101.584,112.653,127.407,141.221,155.436,171.557,189.881,,,,,,,,,,,,,,54.09,18.53,55.91,36.93,5.62,1.65,14.00,-19.51,-15.20,-16.97,4.88,18.49,19.24,18.98,31.01,28.23,16.98,18.66,20.98,12.14,8.40,10.46,5.95,-0.00,-18.63,-15.79,14.65,-1.26,16.40,16.53,12.71,10.90,13.10,10.84,10.07,10.37,10.68
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,1.008,0.921,1.039,1.123,1.169,1.214,1.265,1.323,1.377,1.433,,-5.79,0.00,2.63,23.08,-8.33,-3.03,8.59,13.67,-2.53,9.74,18.93,3.98,-4.31,17.00,6.41,4.82,4.60,-4.03,2.29,1.49,-5.51,1.95,20.23,15.87,6.85,11.54,18.85,12.57,1.37,10.51,13.19,-0.27,2.58,2.52,-3.88,4.17,13.55,5.57,0.11,8.39,-8.63,12.81,8.08,4.10,3.85,4.20,4.58,4.08,4.07
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.003,43.788,57.666,92.104,99.203,106.327,109.957,no data,no data,no data,no data,,12.21,2.08,-0.41,-27.42,3.53,1.69,-23.03,28.86,-26.01,8.33,10.31,13.15,-0.89,-2.52,32.68,-8.90,21.48,7.18,6.19,20.59,4.70,-22.63,-12.15,34.14,27.72,24.51,30.44,31.74,-12.43,18.49,-0.57,17.73,-30.51,-17.09,-41.57,-9.99,2.63,-11.96,-28.44,-40.02,31.69,59.72,7.71,7.18,3.41,,,,
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,370.076,407.965,433.702,468.485,506.426,545.101,585.992,628.634,671.732,,-50.17,32.65,50.64,73.76,-68.87,125.83,24.13,-44.74,-72.91,2.83,18.10,29.10,33.59,23.76,27.50,18.73,8.91,1.27,5.39,8.62,4.32,7.91,12.72,25.17,16.41,15.17,16.76,26.75,3.42,11.00,19.62,13.93,9.00,9.48,1.68,6.48,9.89,9.89,8.98,4.37,6.86,10.24,6.31,8.02,8.10,7.64,7.50,7.28,6.86
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,19.166,17.421,no data,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,15.48,3.87,10.26,8.19,4.99,1.01,-7.19,-11.19,11.59,16.00,11.36,4.33,8.75,25.69,10.62,19.74,15.53,9.14,10.71,3.51,-0.13,10.26,4.69,0.92,5.27,-9.35,16.59,5.84,-9.10,,,,,,
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,20.22,19.394,23.534,18.806,16.192,16.219,18.192,21.05,22.941,24.52,,,,,,,,,,,,15.98,22.46,21.04,28.90,-54.33,-49.23,5.26,-7.55,20.83,26.71,1.80,8.53,10.15,17.74,20.65,13.93,13.58,24.29,-6.62,22.99,5.89,8.17,14.16,6.96,-1.82,-26.21,-14.29,-19.51,1.31,-7.62,-4.09,21.35,-20.09,-13.90,0.17,12.16,15.71,8.98,6.88
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.138,22.096,29.122,28.163,25.913,31.832,36.811,41.141,44.482,47.826,,3.27,-3.49,-13.68,-17.79,-5.16,-31.11,23.90,68.45,6.59,-6.41,-9.67,-2.06,-1.80,3.04,3.88,-5.26,19.56,-17.78,-3.76,5.76,7.47,8.37,16.88,26.91,33.89,53.22,10.17,27.41,-14.41,32.17,15.75,8.73,9.96,-3.20,-21.74,-1.32,23.42,1.69,-11.41,-22.18,21.82,31.80,-3.29,-7.99,22.84,15.64,11.76,8.12,7.52
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.143,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.768,11.34,11.243,10.734,9.573,9.465,9.045,8.141,7.784,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.549,22.04,36.922,26.033,26.878,36.016,32.527,35.231,35.919,36.933,37.189,38.064,38.692,39.333,,,,,,,,,,,,-6.83,-17.53,-2.87,5.15,3.82,22.44,2.66,16.49,-2.74,-3.64,-0.86,-4.53,-10.82,-1.13,-4.44,-9.99,-4.39,-13.84,44.12,24.58,17.11,21.37,11.55,2.12,2.40,2.94,7.26,67.52,-29.49,3.25,34.00,-9.69,8.31,1.95,2.82,0.69,2.35,1.65,1.66
Africa (Region),472.962,482.864,488.907,470.344,412.907,406.64,445.601,499.318,529.603,569.152,663.427,612.414,612.962,613.129,600.263,712.385,795.493,825.775,834.112,691.573,711.279,689.507,704.841,850.439,1019.15,1195.298,1381.402,1605.978,1880.365,1792.327,2094.417,2343.226,2503.719,2599.347,2700.956,2465.802,2343.461,2364.425,2519.69,2603.459,2492.845,2781.699,3001.207,2867.955,2780.597,2822.919,3037.088,3241.346,3466.961,3696.032,,2.09,1.25,-3.80,-12.21,-1.52,9.58,12.05,6.07,7.47,16.56,-7.69,0.09,0.03,-2.10,18.68,11.67,3.81,1.01,-17.09,2.85,-3.06,2.22,20.66,19.84,17.28,15.57,16.26,17.09,-4.68,16.85,11.88,6.85,3.82,3.91,-8.71,-4.96,0.89,6.57,3.32,-4.25,11.59,7.89,-4.44,-3.05,1.52,7.59,6.73,6.96,6.61
